copy_id,driver1_coef,driver2_coef,driver3_coef,driver4_coef,driver5_coef,driver6_coef,driver7_coef,driver8_coef,driver9_coef,driver10_coef,driver11_coef,driver12_coef,driver13_coef,driver14_coef,driver15_coef,driver16_coef,driver17_coef,driver18_coef,driver19_coef,driver20_coef,driver21_coef,driver22_coef,driver23_coef,driver24_coef,driver1_lap_10,driver2_lap_10,driver3_lap_10,driver4_lap_10,driver5_lap_10,driver6_lap_10,driver7_lap_10,driver8_lap_10,driver9_lap_10,driver10_lap_10,driver11_lap_10,driver12_lap_10,driver13_lap_10,driver14_lap_10,driver15_lap_10,driver16_lap_10,driver17_lap_10,driver18_lap_10,driver19_lap_10,driver20_lap_10,driver21_lap_10,driver22_lap_10,driver23_lap_10,driver24_lap_10
1004_2,18.842786793621222,8.374030007845443,15.487415685050484,11.77524563433362,10.027317500522148,6.655736056444178,6.863627615159878,6.919267466526158,18.842786793621222,12.730064708179247,11.730605777899466,18.842786793621222,8.795379550385844,8.990510738773082,10.579726257276144,18.842786793621222,13.030428965422828,4.443479686368393,18.842786793621222,18.842786793621222,4.092726599204289,7.391607172517768,5.949614274396139,14.583306589348194,25,12,17,18,8,6,16,4,25,14,15,25,7,9,10,25,13,5,25,25,2,1,3,11
1005_1,18.825493955794325,4.092726599204289,18.825493955794325,8.795379550385844,11.77524563433362,13.993088651146431,5.949614274396139,12.730064708179247,14.583306589348194,11.730605777899466,4.443479686368393,10.579726257276144,6.655736056444178,6.863627615159878,6.919267466526158,8.990510738773082,18.825493955794325,18.825493955794325,15.487415685050484,8.374030007845443,18.825493955794325,10.027317500522148,10.548045463965767,7.391607172517768,25,1,25,7,14,11,18,19,17,5,3,13,15,12,4,8,25,25,16,10,25,9,6,2
1006_0,10.548045463965767,19.022783336765112,10.579726257276144,13.993088651146431,19.022783336765112,19.022783336765112,12.730064708179247,8.795379550385844,5.949614274396139,19.022783336765112,13.030428965422828,14.583306589348194,19.022783336765112,6.919267466526158,15.487415685050484,4.092726599204289,6.655736056444178,19.022783336765112,19.022783336765112,8.374030007845443,4.443479686368393,11.77524563433362,10.027317500522148,7.391607172517768,14,25,5,12,25,25,13,9,6,25,10,15,25,1,11,2,16,25,25,7,4,17,8,3
1006_1,19.022783336765112,4.092726599204289,19.022783336765112,13.030428965422828,13.993088651146431,15.487415685050484,10.579726257276144,11.77524563433362,8.374030007845443,8.795379550385844,12.730064708179247,7.391607172517768,19.022783336765112,6.919267466526158,5.949614274396139,14.583306589348194,19.022783336765112,19.022783336765112,19.022783336765112,10.027317500522148,19.022783336765112,10.548045463965767,6.655736056444178,4.443479686368393,25,2,25,10,12,11,5,17,7,9,13,3,25,1,6,15,25,25,25,8,25,14,16,4
1006_2,19.022783336765112,11.77524563433362,19.022783336765112,6.655736056444178,13.993088651146431,15.487415685050484,6.919267466526158,5.949614274396139,19.022783336765112,10.548045463965767,8.795379550385844,19.022783336765112,13.030428965422828,14.583306589348194,7.391607172517768,19.022783336765112,8.374030007845443,10.027317500522148,19.022783336765112,19.022783336765112,4.092726599204289,4.443479686368393,10.579726257276144,12.730064708179247,25,17,25,16,12,11,1,6,25,14,9,25,10,15,3,25,7,8,25,25,2,4,5,13
1007_0,10.027317500522148,15.487415685050484,11.730605777899466,11.77524563433362,18.8576383070777,6.655736056444178,4.443479686368393,10.579726257276144,5.949614274396139,18.8576383070777,8.990510738773082,7.391607172517768,18.8576383070777,6.919267466526158,13.993088651146431,4.092726599204289,10.548045463965767,18.8576383070777,18.8576383070777,14.583306589348194,13.030428965422828,12.730064708179247,8.374030007845443,8.795379550385844,18,15,16,14,25,9,1,8,4,25,3,5,25,6,17,2,19,25,25,10,12,13,7,11
1007_1,18.8576383070777,4.092726599204289,18.8576383070777,8.990510738773082,11.77524563433362,13.993088651146431,11.730605777899466,12.730064708179247,14.583306589348194,10.579726257276144,4.443479686368393,8.795379550385844,6.655736056444178,6.919267466526158,5.949614274396139,7.391607172517768,18.8576383070777,18.8576383070777,15.487415685050484,8.374030007845443,18.8576383070777,10.027317500522148,10.548045463965767,13.030428965422828,25,2,25,3,14,17,16,13,10,8,1,11,9,6,4,5,25,25,15,7,25,18,19,12
1007_2,18.8576383070777,12.730064708179247,6.655736056444178,10.548045463965767,11.77524563433362,13.993088651146431,6.919267466526158,5.949614274396139,18.8576383070777,10.027317500522148,10.579726257276144,18.8576383070777,8.990510738773082,7.391607172517768,8.795379550385844,15.487415685050484,14.583306589348194,8.374030007845443,18.8576383070777,18.8576383070777,4.092726599204289,13.030428965422828,11.730605777899466,4.443479686368393,25,13,9,19,14,17,6,4,25,18,8,25,3,5,11,15,10,7,25,25,2,12,16,1
1008_0,12.730064708179247,6.655736056444178,5.949614274396139,10.027317500522148,18.832579800594246,13.993088651146431,14.583306589348194,11.730605777899466,6.919267466526158,15.487415685050484,8.795379550385844,8.990510738773082,18.832579800594246,6.863627615159878,10.548045463965767,4.092726599204289,11.77524563433362,18.832579800594246,18.832579800594246,13.030428965422828,7.391607172517768,8.374030007845443,4.443479686368393,10.579726257276144,20,7,5,16,25,17,14,8,4,18,11,6,25,15,9,1,19,25,25,10,3,12,2,13
1008_1,18.832579800594246,4.092726599204289,18.832579800594246,8.795379550385844,10.027317500522148,10.548045463965767,5.949614274396139,8.374030007845443,13.030428965422828,11.730605777899466,14.583306589348194,10.579726257276144,13.993088651146431,6.863627615159878,6.919267466526158,8.990510738773082,18.832579800594246,15.487415685050484,6.655736056444178,4.443479686368393,18.832579800594246,12.730064708179247,11.77524563433362,7.391607172517768,25,1,25,11,16,9,5,12,10,8,14,13,17,15,4,6,25,18,7,2,25,20,19,3
